"","year","month","day","avg.max.temp"
"371",1980,1,6,281.196325719924
"372",1980,1,7,280.908230775267
"373",1980,1,8,280.513418478494
"374",1980,1,9,279.673259846893
"375",1980,1,10,280.943175590431
"376",1980,1,11,282.835746438163
"377",1980,1,12,284.803797901419
"378",1980,1,13,284.547269864484
"379",1980,1,14,285.032942624494
"380",1980,1,15,285.389194823883
"381",1980,1,16,284.844167190943
"382",1980,1,17,284.501050732511
"383",1980,1,18,284.228890370799
"384",1980,1,19,283.523201324128
"385",1980,1,20,283.019568052746
"386",1980,1,21,282.45130793533
"387",1980,1,22,282.569187387879
"388",1980,1,23,282.961131476657
"389",1980,1,24,283.193752143497
"390",1980,1,25,282.555845871251
"391",1980,1,26,281.299482092665
"392",1980,1,27,280.191660241766
"393",1980,1,28,279.508853979425
"394",1980,1,29,279.127084982177
"395",1980,1,30,279.708620874873
"396",1980,1,31,280.247160778116
"397",1980,2,1,280.607858723511
"398",1980,2,2,280.995323005089
"399",1980,2,3,281.74439087473
"400",1980,2,4,282.451676261818
"401",1980,2,5,282.802289790898
"402",1980,2,6,282.731866871481
"403",1980,2,7,282.950536298927
"404",1980,2,8,282.446793463291
"405",1980,2,9,282.194996847076
"406",1980,2,10,282.261021322732
"407",1980,2,11,281.879741523379
"408",1980,2,12,282.003719218048
"409",1980,2,13,282.342568402413
"410",1980,2,14,282.137240438496
"411",1980,2,15,282.165844720973
"412",1980,2,16,282.632606718741
"413",1980,2,17,282.583442106701
"414",1980,2,18,283.27372707325
"415",1980,2,19,284.648415176336
"416",1980,2,20,284.758041353889
"417",1980,2,21,284.63323327089
"418",1980,2,22,284.068949702895
"419",1980,2,23,284.696095192039
"420",1980,2,24,284.671123459924
"421",1980,2,25,284.500948330946
"422",1980,2,26,284.3213896699
"423",1980,2,27,284.003123851399
"424",1980,2,28,284.006413995652
"425",1980,2,29,283.084853357448
"426",1980,3,1,282.269045690739
"427",1980,3,2,282.663576278407
"428",1980,3,3,283.248351413601
"429",1980,3,4,283.021110897972
"430",1980,3,5,283.276440057999
"431",1980,3,6,284.05007010659
"432",1980,3,7,284.597709303636
"433",1980,3,8,285.14362276238
"434",1980,3,9,285.72736123892
"435",1980,3,10,286.093790790712
"436",1980,3,11,285.775301098387
"437",1980,3,12,284.500519466749
"438",1980,3,13,284.424645861951
"439",1980,3,14,285.337861119085
"440",1980,3,15,285.729752581809
"441",1980,3,16,285.71687165145
"442",1980,3,17,286.003677742647
"443",1980,3,18,286.278967229263
"444",1980,3,19,286.612432271657
"445",1980,3,20,287.052045264611
"446",1980,3,21,287.246604030735
"447",1980,3,22,286.658702014741
"448",1980,3,23,286.628184235402
"449",1980,3,24,286.211499135224
"450",1980,3,25,286.200513885833
"451",1980,3,26,286.47468435546
"452",1980,3,27,286.922266256591
"453",1980,3,28,287.309050921206
