lat,lon,dataset
24.75,-117,era
24.75,-116.25,era
24.75,-115.5,era
24.75,-114.75,era
24.75,-114,era
24.75,-113.25,era
24.75,-112.5,era
24.75,-111.75,era
24.75,-111,era
24.75,-110.25,era
24.75,-109.5,era
24.75,-108.75,era
24.75,-108,era
24.75,-107.25,era
24.75,-106.5,era
24.75,-105.75,era
24.75,-105,era
24.75,-104.25,era
24.75,-103.5,era
24.75,-102.75,era
24.75,-102,era
24.75,-101.25,era
24.75,-100.5,era
24.75,-99.75,era
24.75,-99,era
24.75,-98.25,era
24.75,-97.5,era
24.75,-96.75,era
24.75,-96,era
24.75,-95.25,era
24.75,-94.5,era
24.75,-93.75,era
24.75,-93,era
24.75,-92.25,era
24.75,-91.5,era
24.75,-90.75,era
24.75,-90,era
24.75,-89.25,era
24.75,-88.5,era
24.75,-87.75,era
24.75,-87,era
24.75,-86.25,era
24.75,-85.5,era
24.75,-84.75,era
24.75,-84,era
24.75,-83.25,era
24.75,-82.5,era
24.75,-81.75,era
24.75,-81,era
24.75,-80.25,era
24.75,-79.5,era
24.75,-78.75,era
24.75,-78,era
24.75,-77.25,era
24.75,-76.5,era
24.75,-75.75,era
24.75,-75,era
24.75,-74.25,era
24.75,-73.5,era
24.75,-72.75,era
24.75,-72,era
24.75,-71.25,era
24.75,-70.5,era
24.75,-69.75,era
24.75,-69,era
24.75,-68.25,era
24.75,-67.5,era
24.75,-66.75,era
24.75,-66,era
24.75,-65.25,era
24.75,-64.5,era
24.75,-63.75,era
24.75,-63,era
24.75,-62.25,era
24.75,-61.5,era
24.75,-60.75,era
24.75,-60,era
24.75,-59.25,era
24.75,-58.5,era
25.5,-136.5,era
25.5,-135.75,era
25.5,-135,era
25.5,-134.25,era
25.5,-133.5,era
25.5,-132.75,era
25.5,-132,era
25.5,-131.25,era
25.5,-130.5,era
25.5,-129.75,era
25.5,-129,era
25.5,-128.25,era
25.5,-127.5,era
25.5,-126.75,era
25.5,-126,era
25.5,-125.25,era
25.5,-124.5,era
25.5,-123.75,era
25.5,-123,era
25.5,-122.25,era
25.5,-121.5,era
25.5,-120.75,era
25.5,-120,era
25.5,-119.25,era
25.5,-118.5,era
25.5,-117.75,era
25.5,-117,era
25.5,-116.25,era
25.5,-115.5,era
25.5,-114.75,era
25.5,-114,era
25.5,-113.25,era
25.5,-112.5,era
25.5,-111.75,era
25.5,-111,era
25.5,-110.25,era
25.5,-109.5,era
25.5,-108.75,era
25.5,-108,era
25.5,-107.25,era
25.5,-106.5,era
25.5,-105.75,era
25.5,-105,era
25.5,-104.25,era
25.5,-103.5,era
25.5,-102.75,era
25.5,-102,era
25.5,-101.25,era
25.5,-100.5,era
25.5,-99.75,era
25.5,-99,era
25.5,-98.25,era
25.5,-97.5,era
25.5,-96.75,era
25.5,-96,era
25.5,-95.25,era
25.5,-94.5,era
25.5,-93.75,era
25.5,-93,era
25.5,-92.25,era
25.5,-91.5,era
25.5,-90.75,era
25.5,-90,era
25.5,-89.25,era
25.5,-88.5,era
25.5,-87.75,era
25.5,-87,era
25.5,-86.25,era
25.5,-85.5,era
25.5,-84.75,era
25.5,-84,era
25.5,-83.25,era
25.5,-82.5,era
25.5,-81.75,era
25.5,-81,era
25.5,-80.25,era
25.5,-79.5,era
25.5,-78.75,era
25.5,-78,era
25.5,-77.25,era
25.5,-76.5,era
25.5,-75.75,era
25.5,-75,era
25.5,-74.25,era
25.5,-73.5,era
25.5,-72.75,era
25.5,-72,era
25.5,-71.25,era
25.5,-70.5,era
25.5,-69.75,era
25.5,-69,era
25.5,-68.25,era
25.5,-67.5,era
25.5,-66.75,era
25.5,-66,era
25.5,-65.25,era
25.5,-64.5,era
25.5,-63.75,era
25.5,-63,era
25.5,-62.25,era
25.5,-61.5,era
25.5,-60.75,era
25.5,-60,era
25.5,-59.25,era
25.5,-58.5,era
26.25,-136.5,era
26.25,-135.75,era
26.25,-135,era
26.25,-134.25,era
26.25,-133.5,era
26.25,-132.75,era
26.25,-132,era
26.25,-131.25,era
26.25,-130.5,era
26.25,-129.75,era
26.25,-129,era
26.25,-128.25,era
26.25,-127.5,era
26.25,-126.75,era
26.25,-126,era
26.25,-125.25,era
26.25,-124.5,era
26.25,-123.75,era
26.25,-123,era
26.25,-122.25,era
26.25,-121.5,era
26.25,-120.75,era
26.25,-120,era
26.25,-119.25,era
26.25,-118.5,era
26.25,-117.75,era
26.25,-117,era
26.25,-116.25,era
26.25,-115.5,era
26.25,-114.75,era
26.25,-114,era
26.25,-113.25,era
26.25,-112.5,era
26.25,-111.75,era
26.25,-111,era
26.25,-110.25,era
26.25,-109.5,era
26.25,-108.75,era
26.25,-108,era
26.25,-107.25,era
26.25,-106.5,era
26.25,-105.75,era
26.25,-105,era
26.25,-104.25,era
26.25,-103.5,era
26.25,-102.75,era
26.25,-102,era
26.25,-101.25,era
26.25,-100.5,era
26.25,-99.75,era
26.25,-99,era
26.25,-98.25,era
26.25,-97.5,era
26.25,-96.75,era
26.25,-96,era
26.25,-95.25,era
26.25,-94.5,era
26.25,-93.75,era
26.25,-93,era
26.25,-92.25,era
26.25,-91.5,era
26.25,-90.75,era
26.25,-90,era
26.25,-89.25,era
26.25,-88.5,era
26.25,-87.75,era
26.25,-87,era
26.25,-86.25,era
26.25,-85.5,era
26.25,-84.75,era
26.25,-84,era
26.25,-83.25,era
26.25,-82.5,era
26.25,-81.75,era
26.25,-81,era
26.25,-80.25,era
26.25,-79.5,era
26.25,-78.75,era
26.25,-78,era
26.25,-77.25,era
26.25,-76.5,era
26.25,-75.75,era
26.25,-75,era
26.25,-74.25,era
26.25,-73.5,era
26.25,-72.75,era
26.25,-72,era
26.25,-71.25,era
26.25,-70.5,era
26.25,-69.75,era
26.25,-69,era
26.25,-68.25,era
26.25,-67.5,era
26.25,-66.75,era
26.25,-66,era
26.25,-65.25,era
26.25,-64.5,era
26.25,-63.75,era
26.25,-63,era
26.25,-62.25,era
26.25,-61.5,era
26.25,-60.75,era
26.25,-60,era
26.25,-59.25,era
26.25,-58.5,era
27,-136.5,era
27,-135.75,era
27,-135,era
27,-134.25,era
27,-133.5,era
27,-132.75,era
27,-132,era
27,-131.25,era
27,-130.5,era
27,-129.75,era
27,-129,era
27,-128.25,era
27,-127.5,era
27,-126.75,era
27,-126,era
27,-125.25,era
